Count,City,URL
1 of 500,bathsheba,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bathsheba
2 of 500,bathsheba,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=bathsheba
3 of 500,hobart,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=hobart
4 of 500,atuona,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=atuona
5 of 500,ippy,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=ippy
6 of 500,griffith,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=griffith
7 of 500,laguna,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=laguna
8 of 500,tuatapere,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=tuatapere
10 of 500,narsaq,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=narsaq
12 of 500,ancud,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=ancud
13 of 500,hobart,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=hobart
14 of 500,longyearbyen,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=longyearbyen
15 of 500,busselton,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=busselton
16 of 500,morondava,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=morondava
18 of 500,cape town,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=cape town
19 of 500,busselton,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=busselton
20 of 500,hilo,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=hilo
21 of 500,zalantun,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=zalantun
22 of 500,petropavlovsk-kamchatskiy,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=petropavlovsk-kamchatskiy
23 of 500,saint-philippe,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=saint-philippe
24 of 500,mabaruma,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=mabaruma
25 of 500,zhigansk,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=zhigansk
26 of 500,riyadh,http://api.openweathermap.org/data/2.5/weather?appid=d9f788ccd230de9dfedc79a53db72d7f&unitsimperial&q=riyadh
